key,episode,author,title,file,source,source_id,source_page,matched_title,matched_author,match_score,bytes
review-29,29,George Szpiro,Poincaré's Prize,review-29.jpg,Open Library,1269760,https://openlibrary.org/works/OL5838324W,Poincare's Prize,George G. Szpiro,135.0,11549
review-28,28,O. Henry (William Porter),The Gift of the Magi,review-28.jpg,Open Library,819241,https://openlibrary.org/works/OL181953W,The gift of the Magi,O. Henry,140.7,12996
review-27,27,Randy Pausch,The Last Lecture,review-27.jpg,Open Library,6423395,https://openlibrary.org/works/OL7952998W,The Last Lecture,Randy Pausch; Jeffrey Zaslow,140.0,10391
review-26,26,Anne-Lee and Joshua Gilder,Heavenly Intrigue,review-26.jpg,Open Library,ISBN 9781400031764,https://openlibrary.org/isbn/9781400031764,Heavenly Intrigue,Anne-Lee and Joshua Gilder,100.0,51510
review-25,25,Louis Untermeyer,This Singing World,review-25.jpg,Open Library,9315819,https://openlibrary.org/works/OL1520941W,This singing world,Louis Untermeyer,135.0,10911
review-24,24,R. F. Kuang,Yellowface,review-24.jpg,Open Library,13195421,https://openlibrary.org/works/OL29050559W,Yellowface,R. F. Kuang,139.7,11464
review-23,23,Chelsea G. Summers,A Certain Hunger,review-23.jpg,Open Library,11048597,https://openlibrary.org/works/OL20760650W,A Certain Hunger,Chelsea G. Summers,135.0,24010
review-22,22,Suzanne Collins,Sunrise on the Reaping,review-22.jpg,Open Library,ISBN 9781546171461,https://openlibrary.org/isbn/9781546171461,Sunrise on the Reaping,Suzanne Collins,100.0,47085
review-21,21,Alexandre Dumas,The Count of Monte Cristo,review-21.jpg,Penguin Random House,ISBN 9780140449266,https://images.penguinrandomhouse.com/cover/9780140449266,The Count of Monte Cristo,Alexandre Dumas,100.0,30661
review-20,20,Monica Sjöö,The Great Cosmis Mother,review-20.jpg,Open Library,8273377,https://openlibrary.org/works/OL3853538W,The great cosmic mother,Monica Sjöö; Monica Sjöö; Monica Sjöö; Monica Sjoo; Monica Sjoo; Barbara Mor,135.0,23732
review-19,19,Isaac Asimov,Foundation,review-19.jpg,Open Library,14612610,https://openlibrary.org/works/OL46125W,Foundation,Isaac Asimov,143.0,18385
review-18,18,Franz Kafka,The Metamorphosis,review-18.jpg,Open Library,6889547,https://openlibrary.org/works/OL15176533W,The Metamorphosis and Other Stories,Franz Kafka,100.0,22395
review-17,17,Shirley Jackson,The Lottery,review-17.jpg,Open Library,8434898,https://openlibrary.org/works/OL3171085W,The Lottery,Shirley Jackson,135.0,20469
review-16,16,Andy Weir,Project Hail Mary,review-16.jpg,Open Library,11200092,https://openlibrary.org/works/OL21745884W,Project Hail Mary,Andy Weir,141.0,22830
review-15,15,Joseph Kessel,The Lion,review-15.jpg,Open Library,6635043,https://openlibrary.org/works/OL1306826W,The lion,Joseph Kessel,135.0,4756
review-14,14,Gabrielle Zevin,The Storied Life of A.J. Fikry,review-14.jpg,Open Library,7281141,https://openlibrary.org/works/OL16819586W,The storied life of A. J. Fikry,Gabrielle Zevin; Scott Brick,140.2,8869
review-13,13,Neal Stephenson,Snow Crash,review-13.jpg,Open Library,392508,https://openlibrary.org/works/OL38501W,Snow Crash,Neal Stephenson,141.5,16829
review-12,12,Jules Verne,Around the World in 80 Days,review-12.jpg,Open Library,10572141,https://openlibrary.org/works/OL20984945W,Around the World in 80 Days,Jules Verne,140.7,18337
review-11,11,Bram Stoker,Dracula,review-11.jpg,Open Library,12216503,https://openlibrary.org/works/OL85892W,Dracula,Bram Stoker,145.0,16289
review-10,10,Kahlil Gibran,The Prophet,review-10.jpg,Open Library,418324,https://openlibrary.org/works/OL318900W,The Prophet,Kahlil Gibran,145.0,7552
review-09,9,Yvon Chouinard,Let My People Go Surfing,review-09.jpg,Open Library,6875301,https://openlibrary.org/works/OL16028960W,Let my people go surfing,Yvon Chouinard,135.0,8296
review-08,8,Leo Tolstoy,The Death of Ivan Ilyich,review-08.jpg,Open Library,11616112,https://openlibrary.org/works/OL16563010W,The death of Ivan Ilyich and The devil,"Tolstoy, Leo, graf, 1828-1910",100.0,14189
review-07,7,Sir Arthur Conan Doyle,The Adventures of Sherlock Holmes,review-07.jpg,Open Library,6717853,https://openlibrary.org/works/OL262421W,The Adventures of Sherlock Holmes [12 stories],Arthur Conan Doyle,101.3,8466
review-06,6,Douglas Adams,The Hitchhiker's Guide to the Galaxy,review-06.jpg,Open Library,12986869,https://openlibrary.org/works/OL2163649W,The Hitchhiker's Guide to the Galaxy,Douglas Adams,143.5,22339
review-05,5,Mikhail Bulgakov,The Master and Margarita,review-05.jpg,Open Library,15013644,https://openlibrary.org/works/OL36999384W,The Master and Margarita,Михаил Афанасьевич Булгаков,100.0,19048
review-04,4,Michael Finkel,The Art Thief,review-04.jpg,Open Library,13460657,https://openlibrary.org/works/OL26510226W,The Art Thief,Michael Finkel,135.0,23430
review-03,3,Antoine de Sant-Exupéry,The Little Prince,review-03.jpg,Open Library,15218419,https://openlibrary.org/works/OL45338101W,The Little Prince,Antoine de Saint-Exupéry,126.3,24199
review-02,2,G. K. Chesterton,The Man Who Was Thursday: A Nightmare,review-02.jpg,Open Library,ISBN 9780141191461,https://openlibrary.org/isbn/9780141191461,The Man Who Was Thursday: A Nightmare,G. K. Chesterton,100.0,35844
review-01,1,Voltaire,Candide,review-01.jpg,Penguin Random House,ISBN 9780143039426,https://images.penguinrandomhouse.com/cover/9780143039426,Candide,Voltaire,100.0,57615
