Status,Author,Title,Note,Link
Currently reading,Matt Dinniman,This Inevitable Ruin,Dungeon Crawler Carl #7,https://amzn.to/4xb2gr7
Next week,Robin Hobb,Royal Assassin,Farseer Trilogy #2,https://amzn.to/4xcHGXm
