Zebra Book Cub Ratings,,,,,,
,The wisdom of insecurity,,,0,,
,War and peace,,,0,,
,The three-body problem,,,0,,
,The city and its uncertain walls,,,0,,
,Bhagavad gita,,,0,,
,The lion (kessel) from sion,,,0,,
,Emperor of rome,,,0,,
,The Jungle Books,,,0,,
,The shadow of the wind,,,0,,
,Murder on the orient express,,,0,,
,The Feather Thief,,,0,,
,Letters to a young poet,,,0,,
,The wild seed series from olive,,,0,,
,Madame bovary,,,0,,
,Echo of Worlds,,,0,,
,The fall,,,0,,
,The Night Manager,,,0,,
,The stranger,,,0,,
,Breakfast at tifanys,,,0,,
,The portrait of a lady,,,0,,
,Children of time,,,0,,
,Bel canto,,,0,,
,The name of the rose,,,0,,
,How the steel was tempered,,,0,,
,All desire is a desire for being,,,0,,
,Journey to the center of the earth,,,0,,
,Chop wood carry water,,,0,,
,The dinner,,,0,,
,The snow leopard,,,0,,
,From third world to first,,,0,,
,What is Intellince?,,,0,,
,What is Life?,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
,,,,0,,
